date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2015/9/23,2175,2139.2,2130,2184.8,5830,10544,1.143096766
2015/9/24,2134,2153,2134,2169,4442,10997,1.143096766
2015/9/25,2151.4,2131,2111.2,2160.6,5135,11299,1.143096766
2015/9/28,2122.6,2136.2,2105,2145.8,4338,11188,1.143096766
2015/9/29,2111,2094.2,2066.4,2114.2,4843,11577,1.143096766
2015/9/30,2101.4,2112.6,2101.4,2141,4590,11612,1.143096766
2015/10/8,2217,2171,2170.2,2250,5351,11717,1.143096766
2015/10/9,2189.4,2207.4,2184.6,2215.6,5160,11215,1.143096766
2015/10/12,2211.2,2276.2,2211.2,2310.8,6021,10752,1.143096766
2015/10/13,2278.4,2262,2258.4,2282.8,4607,9325,1.143096766
2015/10/14,2247.4,2240,2236.2,2278,5071,7793,1.143096766
2015/10/15,2340,2297,2247.2,2340,4752,5228,1.143096766
2015/10/16,2297.6,2316.6,2297.6,2325,3707,0,1.143096766
2015/10/19,2269.8,2239.4,2225.2,2277,880,7804,1.165228359
2015/10/20,2239.4,2264.2,2225,2268,860,8077,1.165228359
2015/10/21,2264.2,2215.8,2178,2275.2,1121,8099,1.165228359
2015/10/22,2214.8,2256.6,2214,2273.4,986,7996,1.165228359
2015/10/23,2261.6,2292.6,2250,2292.6,728,8026,1.165228359
2015/10/26,2292.6,2290,2272.2,2323.2,909,8207,1.165228359
2015/10/27,2280.4,2292.2,2245,2295.6,725,8164,1.165228359
2015/10/28,2279.2,2249.4,2245.2,2285,776,8253,1.165228359
2015/10/29,2250.2,2261,2247,2275.8,668,8107,1.165228359
2015/10/30,2261.6,2263.8,2248.8,2287.6,708,8098,1.165228359
2015/11/2,2251,2243.8,2225.6,2271,892,7973,1.165228359
2015/11/3,2247.6,2228,2228,2259,737,7860,1.165228359
2015/11/4,2244,2351,2240,2351.6,1442,8097,1.165228359
2015/11/5,2324,2402,2324,2452,1873,8158,1.165228359
2015/11/6,2414.8,2472,2399,2475,1932,8560,1.165228359
2015/11/9,2469.4,2482.2,2455,2544,1999,8783,1.165228359
2015/11/10,2483.4,2473.6,2465,2515.4,1780,8931,1.165228359
2015/11/11,2479.6,2479.4,2435.4,2488.6,1498,8889,1.165228359
2015/11/12,2488,2440.8,2422,2492.8,1625,8864,1.165228359
2015/11/13,2434.2,2414.4,2412.6,2446.8,1781,9197,1.165228359
2015/11/16,2386.6,2413.4,2380,2415.6,1886,9576,1.165228359
2015/11/17,2439.2,2383,2380.4,2484.2,3416,10471,1.165228359
2015/11/18,2380,2383,2371,2419,3532,11366,1.165228359
2015/11/19,2395.2,2438.6,2393.4,2440,4612,12687,1.165228359
2015/11/20,2438.8,2413.2,2411,2445,5508,13769,1.165228359
2015/11/23,2411.6,2409.2,2404.2,2441.8,4983,13859,1.165228359
2015/11/24,2403,2405,2372,2411.8,5775,14563,1.165228359
2015/11/25,2405,2430,2387.8,2434,5784,14579,1.165228359
2015/11/26,2438.4,2415,2412.2,2461.2,5962,14667,1.165228359
2015/11/27,2418,2318,2293.6,2421.8,7509,14651,1.165228359
2015/11/30,2318,2306,2275.4,2329,7161,14477,1.165228359
2015/12/1,2305.2,2321.8,2293,2348,6147,14080,1.165228359
2015/12/2,2324.4,2448,2319,2451.8,8925,13794,1.165228359
2015/12/3,2432.4,2438.2,2408.4,2448.6,7092,13144,1.165228359
2015/12/4,2419.8,2378,2365,2423.8,6099,13044,1.165228359
2015/12/7,2389.2,2368,2341.8,2392.8,5571,12850,1.165228359
2015/12/8,2351,2337,2327,2362,5997,12377,1.165228359
2015/12/9,2331.6,2352,2330.4,2373.8,5627,11890,1.165228359
2015/12/10,2350,2329,2320,2395.6,6530,11643,1.165228359
2015/12/11,2340,2340,2310.4,2350,5639,10825,1.165228359
2015/12/14,2310,2413.8,2305.4,2419.8,6715,9943,1.165228359
2015/12/15,2403.2,2372.6,2370,2416.2,5889,7674,1.165228359
2015/12/16,2386.2,2374,2369,2396.6,4904,5991,1.165228359
2015/12/17,2386.2,2403.6,2385,2429.6,4452,3309,1.165228359
2015/12/18,2400,2430.2,2397.2,2465.8,2338,0,1.165228359
2015/12/21,2396,2466.2,2385.8,2474.8,6483,11176,1.181367525
2015/12/22,2472.4,2465,2445.4,2479.8,5421,10945,1.181367525
2015/12/23,2470,2470.8,2457,2512.8,7040,11632,1.181367525
2015/12/24,2472.4,2458,2433.4,2478.6,6207,11338,1.181367525
2015/12/25,2458,2480.8,2454,2480.8,4783,11240,1.181367525
2015/12/28,2468.2,2379.8,2377,2479.6,6018,11555,1.181367525
2015/12/29,2395.6,2411,2388.8,2422.6,5634,11706,1.181367525
2015/12/30,2417.4,2404.6,2386,2422.6,5852,11588,1.181367525
2015/12/31,2405.6,2388.8,2387.4,2425.4,5776,11063,1.181367525
2016/1/4,2374,2254,2240.2,2388.4,4786,10650,1.181367525
2016/1/5,2250.2,2261,2211.8,2299,7003,11654,1.181367525
2016/1/6,2260,2288,2256.2,2303.4,6342,11130,1.181367525
2016/1/7,2268,2145.8,2140,2268.2,1951,10507,1.181367525
2016/1/8,2200,2194.2,2135.8,2244.8,7394,11371,1.181367525
2016/1/11,2168,2109.6,2105.6,2186,7682,10850,1.181367525
2016/1/12,2136.8,2121.2,2112.6,2154.8,6770,9483,1.181367525
2016/1/13,2155,2098.8,2095,2167.4,7022,7694,1.181367525
2016/1/14,2052,2129,2050,2133.8,6296,4723,1.181367525
2016/1/15,2117,2079,2074.8,2124.4,3876,0,1.181367525
2016/1/18,2026,2028,2020.8,2069,6503,8798,1.209287585
2016/1/19,2040.2,2085,2022.4,2096,6900,9095,1.209287585
2016/1/20,2065,2039.2,2021.6,2079,7176,9360,1.209287585
2016/1/21,2046.2,2000,1989.2,2075.6,7757,10086,1.209287585
2016/1/22,2037,2029.6,1993.8,2042.2,7414,10199,1.209287585
2016/1/25,2029.6,2025.8,2016.2,2045.8,5537,9877,1.209287585
2016/1/26,2014.8,1925,1919.8,2022.8,7265,10543,1.209287585
2016/1/27,1940.2,1927,1892.4,1947.6,7502,11046,1.209287585
2016/1/28,1927,1899.4,1890.2,1939.6,6232,10777,1.209287585
2016/1/29,1907.4,1955.4,1904,1972.8,7396,10741,1.209287585
2016/2/1,1957.6,1925.8,1904.6,1961,5844,10359,1.209287585
2016/2/2,1925,1960.6,1924.6,1973.8,5899,10113,1.209287585
2016/2/3,1944.6,1940.2,1917.6,1948,5553,9932,1.209287585
2016/2/4,1961.4,1968.8,1945.2,1981.4,5856,9349,1.209287585
2016/2/5,1960.8,1950,1950,1972,4253,8433,1.209287585
2016/2/15,1910.2,1937,1907,1949.8,5232,8129,1.209287585
2016/2/16,1948,1988.6,1948,2001.8,5622,6821,1.209287585
2016/2/17,1988,2000.8,1983,2013.2,4731,5208,1.209287585
2016/2/18,2021.2,2006.8,2003.2,2028.8,3280,3493,1.209287585
2016/2/19,1975.6,1973.6,1963.2,1983.8,5728,14669,1.228385466
2016/2/22,2000,2017,1982,2031.2,7233,15969,1.228385466
2016/2/23,2013,1998.2,1982,2018,6490,16104,1.228385466
2016/2/24,1996.6,2010.8,1978.2,2016,6839,16428,1.228385466
2016/2/25,2006,1908.4,1893.4,2014,8943,16574,1.228385466
2016/2/26,1935.6,1931.4,1910.2,1941.8,7485,16612,1.228385466
2016/2/29,1923,1905.2,1865.2,1929.6,8354,16708,1.228385466
2016/3/1,1907.2,1948,1905.4,1969.8,8986,16041,1.228385466
2016/3/2,1961.2,2027.8,1960,2029,8860,15936,1.228385466
2016/3/3,2028,2027.8,2012.8,2038.2,7326,15480,1.228385466
2016/3/4,2025,2101,2021.6,2101.2,10489,15922,1.228385466
2016/3/7,2117,2105,2085.4,2136,8275,14787,1.228385466
2016/3/8,2098.8,2100.8,2025,2106,8497,14619,1.228385466
2016/3/9,2067,2077.4,2044.8,2083.4,7977,13916,1.228385466
2016/3/10,2077,2045.8,2045.6,2098,6937,13565,1.228385466
2016/3/11,2048.6,2052.8,2027,2062.2,7296,12551,1.228385466
2016/3/14,2075.4,2067.4,2064.6,2115,8186,11068,1.228385466
2016/3/15,2070.2,2080.2,2046.6,2084.4,7598,9400,1.228385466
2016/3/16,2078,2105.4,2073.6,2116.6,7711,8226,1.228385466
2016/3/17,2127.8,2130,2106,2160.2,6641,4558,1.228385466
2016/3/18,2133,2146.6,2131.6,2162.2,3483,0,1.228385466
2016/3/21,2138.2,2177,2136.8,2204.8,8245,13431,1.243798227
2016/3/22,2170,2162.2,2158.6,2182,5949,13184,1.243798227
2016/3/23,2170,2160.8,2142.6,2181.4,6519,13467,1.243798227
2016/3/24,2149.8,2124,2095,2149.8,6837,13201,1.243798227
2016/3/25,2126.2,2134.2,2126.2,2149.4,5604,13106,1.243798227
2016/3/28,2141.4,2110.8,2107.2,2163.8,6390,13111,1.243798227
2016/3/29,2123.4,2103,2090.4,2129.4,6621,13110,1.243798227
2016/3/30,2124.2,2154.6,2118.2,2159.2,7901,13655,1.243798227
2016/3/31,2168,2158.4,2141.4,2172.6,6820,13524,1.243798227
2016/4/1,2154.8,2164.6,2114.4,2165,7556,13963,1.243798227
2016/4/5,2145,2173,2142.4,2189.2,6999,13711,1.243798227
2016/4/6,2160,2164.2,2156.4,2172.8,5135,13052,1.243798227
2016/4/7,2178.2,2140.8,2135.4,2181.4,6535,12682,1.243798227
2016/4/8,2125.6,2124.2,2114,2137.4,6145,12169,1.243798227
