date,Open,Close,Low,High,Volume,OpenInterest,adj_fct
2012/10/17,2309.6,2309.4,2282.2,2319,478407,30442,0.837920669
2012/10/18,2318,2332.6,2310.8,2344.2,172721,11131,0.837920669
2012/10/19,2337,2333.8,2328,2338.4,26198,0,0.837920669
2012/10/22,2334.8,2351,2328.2,2365,419077,71057,0.833279042
2012/10/23,2355,2324.4,2323.2,2357.8,451252,71278,0.833279042
2012/10/24,2318,2322,2315.4,2337.8,454605,70100,0.833279042
2012/10/25,2322,2307.4,2304,2334.4,454627,74691,0.833279042
2012/10/26,2305.8,2252,2245.4,2309.4,511301,71913,0.833279042
2012/10/29,2250,2244,2233.4,2255.8,335842,70298,0.833279042
2012/10/30,2245,2245.4,2237,2269.8,484871,70216,0.833279042
2012/10/31,2252,2255.2,2238.4,2261,484962,68321,0.833279042
2012/11/1,2257.4,2306.2,2255.4,2318.2,588816,69598,0.833279042
2012/11/2,2311.2,2307.2,2289.2,2316,442903,67071,0.833279042
2012/11/5,2305.4,2307,2293,2330,500112,63900,0.833279042
2012/11/6,2309,2290.8,2261.2,2314.6,557390,64415,0.833279042
2012/11/7,2296.8,2292,2279,2310,592125,65271,0.833279042
2012/11/8,2275,2245,2243.8,2282.8,531773,64231,0.833279042
2012/11/9,2247.6,2244.6,2236.2,2254.6,397937,60405,0.833279042
2012/11/12,2245,2249,2231,2257.4,476242,56822,0.833279042
2012/11/13,2250,2214.4,2207.2,2251,448451,48754,0.833279042
2012/11/14,2215.2,2217.4,2210.4,2224.2,279330,38722,0.833279042
2012/11/15,2206,2192.8,2189.2,2223.6,163119,20032,0.833279042
2012/11/16,2188.4,2169.4,2166,2194,57861,0,0.833279042
2012/11/19,2183.4,2176.2,2156.2,2184.4,499293,77645,0.827784392
2012/11/20,2182,2181,2166.2,2188.4,473298,76817,0.827784392
2012/11/21,2177,2192.4,2158.2,2201,718404,78277,0.827784392
2012/11/22,2190.2,2187.6,2172.2,2191,524239,76933,0.827784392
2012/11/23,2193,2194.4,2185.2,2209.6,622046,75899,0.827784392
2012/11/26,2197.2,2180.2,2173.8,2197.6,475868,75362,0.827784392
2012/11/27,2177.2,2158,2156.6,2177.6,439195,79262,0.827784392
2012/11/28,2154,2141.8,2137,2154,388935,83149,0.827784392
2012/11/29,2140.4,2125.6,2125.4,2149.8,384646,84358,0.827784392
2012/11/30,2123.8,2138.4,2121,2147.8,580780,79377,0.827784392
2012/12/3,2139.6,2117.4,2115.6,2156.2,565400,83698,0.827784392
2012/12/4,2112,2131.4,2111.8,2139.4,577421,83873,0.827784392
2012/12/5,2133.6,2215.8,2131.4,2226,814910,75595,0.827784392
2012/12/6,2218,2204.4,2200.2,2222.2,536211,72093,0.827784392
