date,Open,High,Low,Close,Volume,OpenInterest,adj_fct
2015/7/31,7275,7642.2,7210,7399,149888,10625,1
2015/8/3,7335,7351,6990,7065.2,98428,11396,1
2015/8/4,7088.8,7708.6,7069.2,7657.6,131506,11310,1
2015/8/5,7677,7737.2,7460,7486.4,118095,10723,1
2015/8/6,7415,7727.8,7361,7545.4,122864,11038,1
2015/8/7,7600,7966,7583.8,7851.2,131512,11483,1
2015/8/10,7855,8440,7855,8330,108046,12475,1
2015/8/11,8356.8,8396.2,8185.2,8200.6,103813,11063,1
2015/8/12,8202.2,8330,8051,8082.2,113709,10608,1
2015/8/13,8100,8387,8052.6,8345.8,112898,11158,1
2015/8/14,8388,8527.8,8308,8397,116621,10775,1
2015/8/17,8406,8690,8200,8659,114466,10505,1
2015/8/18,8689,8761.6,7770.2,7802,136282,8469,1
2015/8/19,7793.8,8198.8,7603.2,8151.2,117489,5614,1
2015/8/20,8122,8298.4,7993.8,8003,54692,3146,1
2015/8/21,7500.2,7619,7060,7207.4,173849,13814,1
2015/8/24,6953,7044.6,6523.6,6523.6,89052,15574,1
2015/8/25,6249,6380,5871.4,5871.4,128798,15352,1
2015/8/26,5869,6150,5301.2,5400.2,169262,15626,1
2015/8/27,5700,6079.4,5510,5928.2,166242,15306,1
2015/8/28,6101.2,6402.6,5884,6402.6,129943,15107,1
2015/8/31,6387,6388,5852,5961.4,85814,13352,1
2015/9/1,5960,6195.6,5363.2,5373,109123,14164,1
2015/9/2,5277.4,5975,5101.8,5377,158776,14495,1
2015/9/7,5650,5921.8,5550,5795,11697,11072,1
2015/9/8,5806.2,6383,5752.6,6383,10836,9509,1
2015/9/9,6428,6578,6300,6369,9181,9401,1
2015/9/10,6318,6463.8,6234.2,6319,6395,9113,1
2015/9/11,6330.8,6489,6296.2,6420,6184,8907,1
2015/9/14,6498,6500,5758.2,5758.2,8153,7599,1
2015/9/15,5749.6,5898.6,5590.2,5663.6,6917,6912,1
2015/9/16,5710.4,6200,5620,6050.8,7708,5599,1
2015/9/17,6100,6218.2,5855,5955,4130,3636,1
2015/9/18,5965.2,6192,5930.4,6010.2,2184,0,1
2015/9/21,5750,6184.2,5715,6170.2,10042,8588,1
2015/9/22,6168.8,6190,6005,6077.8,9276,8743,1
2015/9/23,6080.8,6093.2,5903,5980.4,9051,9004,1
2015/9/24,6000,6146.8,5978,6100,8986,9329,1
2015/9/25,6098.8,6115,5713,5787.4,10687,8974,1
2015/9/28,5848,6036.6,5770,5994.4,9431,9251,1
2015/9/29,5950,5950,5788.2,5914,8872,9170,1
2015/9/30,5955,5993,5852,5917.8,7381,8796,1
2015/10/8,6220,6350,6191.8,6195.2,7856,9007,1
2015/10/9,6230,6444.6,6208.8,6406.8,7489,8901,1
2015/10/12,6458.2,6790,6458.2,6642.6,8516,8977,1
2015/10/13,6613,6737.6,6586.4,6688.6,6576,8048,1
2015/10/14,6645,6743.4,6625.6,6645.2,6975,6782,1
2015/10/15,6655.8,6957,6655.2,6954.8,5867,4445,1
2015/10/16,6997.8,7099.2,6902.4,6979.8,3753,0,1
2015/10/19,6797.8,6818,6530,6685,8686,8196,1
2015/10/20,6685,6850,6645.6,6850,8843,8956,1
2015/10/21,6814,6844,6451,6478.8,10707,9261,1
2015/10/22,6520.2,6735,6483,6666.2,10515,9983,1
2015/10/23,6706.2,6920,6671,6908,9940,10045,1
2015/10/26,6944,6949.8,6750,6865,9359,10328,1
2015/10/27,6824,6990,6641.2,6903.4,10357,10853,1
2015/10/28,6910,6927,6666.8,6683.4,9763,10741,1
2015/10/29,6712.2,6886.6,6655,6782,9744,11261,1
2015/10/30,6801,6887,6651,6783.8,10368,11732,1
2015/11/2,6641,6868,6582.6,6668.8,10294,12019,1
2015/11/3,6696.8,6757,6614.8,6656.2,9553,11972,1
2015/11/4,6700,7117.6,6678.8,7090.6,11240,12299,1
2015/11/5,7066.8,7119.6,6983.2,7066.4,9820,11270,1
2015/11/6,7068.8,7338.8,7068,7293.8,8847,11479,1
2015/11/9,7270,7449.8,7205.2,7353.8,8477,11298,1
2015/11/10,7330,7439,7320.2,7394,7301,10651,1
2015/11/11,7388,7548.8,7378,7545,7006,10705,1
2015/11/12,7540,7570,7391,7519,7645,10313,1
2015/11/13,7476.6,7523.4,7330,7468,7923,10101,1
2015/11/16,7345,7670.2,7345,7638,7723,9544,1
2015/11/17,7660,7788.2,7500.8,7547.6,7544,7899,1
2015/11/18,7557.8,7655.6,7466,7499,5941,6295,1
2015/11/19,7516.2,7710,7502.2,7697,4148,4034,1
2015/11/20,7720,7829.8,7680,7804,3192,0,1
2015/11/23,7400.2,7575.2,7338.8,7356.6,9003,14000,1
2015/11/24,7350.6,7488.6,7312.6,7471,8658,14422,1
2015/11/25,7478.8,7636.8,7452.6,7631,8171,14962,1
2015/11/26,7646.6,7671,7530,7531.8,7986,14985,1
2015/11/27,7540.2,7559.4,6931,7092.6,11342,14526,1
2015/11/30,7092.6,7199,6922,7118.2,11040,15403,1
2015/12/1,7125.6,7267,7043,7137.6,10169,15420,1
2015/12/2,7143.2,7293.2,6951,7280.2,12101,15847,1
2015/12/3,7252.2,7407.6,7221.2,7377.8,9758,15908,1
2015/12/4,7307,7387.2,7222,7315.8,8667,15423,1
2015/12/7,7346,7437,7251.2,7339.4,8792,15365,1
2015/12/8,7311,7315.4,7166.6,7230,8842,15375,1
2015/12/9,7231,7280.4,7151,7212,8429,15264,1
2015/12/10,7195,7330,7151.8,7170,9567,14719,1
2015/12/11,7189,7269,7121,7227.4,8567,13989,1
2015/12/14,7167,7429.8,7165,7422,9189,12249,1
2015/12/15,7403,7500.4,7395,7446,6822,10390,1
2015/12/16,7468.8,7570.8,7462.2,7492.6,6024,8545,1
2015/12/17,7529,7713.8,7513.8,7693.6,5077,5797,1
2015/12/18,7661.4,7727.6,7631.6,7700.8,4294,0,1
2015/12/21,7468.4,7612.6,7434.4,7585,7880,12144,1
2015/12/22,7604.6,7660,7528.8,7650,7211,12143,1
2015/12/23,7661.4,7666.8,7511.2,7516.4,7931,12296,1
2015/12/24,7532.6,7571,7405.8,7533.4,7879,12843,1
2015/12/25,7552.6,7603.2,7503,7595.8,6734,12940,1
2015/12/28,7546,7619.8,7295.2,7305,8527,13027,1
2015/12/29,7333.2,7437.4,7285,7418.2,8751,13862,1
2015/12/30,7442,7543,7411.2,7511.4,7661,14413,1
2015/12/31,7529,7553,7338,7349,8521,14285,1
2016/1/4,7350,7364.8,6881.2,6881.2,5957,13616,1
2016/1/5,6650,6880,6650,6699,10206,14978,1
2016/1/6,6749,6870,6701,6814.4,9565,14346,1
2016/1/7,6745.8,6745.8,6360,6360,2196,13502,1
2016/1/8,6520,6588.8,6150,6399.8,10654,14367,1
2016/1/11,6248.8,6396.8,5929.8,5940.4,11236,13600,1
2016/1/12,6040.2,6167.2,5961,6074.8,11013,11939,1
2016/1/13,6126.4,6210,5849.4,5904.4,10420,10031,1
2016/1/14,5735,6109.8,5723,6078,8896,6155,1
2016/1/15,6052.4,6121.8,5923.4,5942.8,5486,0,1
2016/1/18,5555.8,5810,5543.2,5695.2,12537,14010,1
2016/1/19,5721.2,5968.6,5700,5928.8,11821,14526,1
2016/1/20,5876,5964.4,5801,5835,11388,14763,1
